code,country,capital,difficulty,reveal
fr,France,Paris,1,"Paris! The City of Light has been France's capital for over a thousand years!"
jp,Japan,Tokyo,1,"Tokyo! The most populous metropolitan area on Earth and Japan's capital!"
au,Australia,Canberra,1,"Canberra! Not Sydney! Australia's capital was purpose-built in nineteen thirteen as a compromise!"
ca,Canada,Ottawa,1,"Ottawa! Not Toronto! Canada's capital sits right on the Ontario-Quebec border!"
us,United States,Washington D.C.,1,"Washington D.C.! Not New York! The capital was purpose-built between Maryland and Virginia!"
gb,United Kingdom,London,1,"London! Home of Big Ben and Buckingham Palace, capital of the United Kingdom!"
de,Germany,Berlin,1,"Berlin! Reunified as Germany's capital in nineteen ninety after the Wall came down!"
it,Italy,Rome,1,"Rome! The Eternal City, capital of Italy and once the heart of a mighty empire!"
es,Spain,Madrid,1,"Madrid! Europe's highest capital city, sitting over six hundred metres above sea level!"
br,Brazil,Brasília,1,"Brasília! Not Rio! Brazil's futuristic capital was built from scratch in the nineteen fifties!"
cn,China,Beijing,1,"Beijing! Home of the Forbidden City, capital of the world's most populous country!"
in,India,New Delhi,1,"New Delhi! India's capital, planned and built by the British in the twentieth century!"
ru,Russia,Moscow,1,"Moscow! Home of the Kremlin and Red Square, capital of the world's largest country!"
mx,Mexico,Mexico City,1,"Mexico City! Built on the ruins of ancient Tenochtitlán, one of the world's great capitals!"
kr,South Korea,Seoul,1,"Seoul! One of the world's most connected megacities and capital of South Korea!"
za,South Africa,Pretoria,1,"Pretoria! Not Cape Town or Johannesburg! South Africa's executive capital in the north!"
eg,Egypt,Cairo,1,"Cairo! The largest city in Africa and the Arab world, gateway to the Pyramids!"
ar,Argentina,Buenos Aires,1,"Buenos Aires! The Paris of South America and capital of Argentina!"
tr,Turkey,Ankara,1,"Ankara! Not Istanbul! Turkey moved its capital to Ankara in nineteen twenty-three!"
ng,Nigeria,Abuja,1,"Abuja! Not Lagos! Nigeria's purpose-built capital has been the official capital since nineteen ninety-one!"
nl,Netherlands,Amsterdam,2,"Amsterdam! Officially the capital, though the Dutch government sits in The Hague!"
ch,Switzerland,Bern,2,"Bern! Not Zurich or Geneva! Bern is Switzerland's federal city and de facto capital!"
nz,New Zealand,Wellington,2,"Wellington! Not Auckland! New Zealand's compact and notoriously windy capital!"
pk,Pakistan,Islamabad,2,"Islamabad! Not Karachi or Lahore! Pakistan's planned capital was built in the nineteen sixties!"
kz,Kazakhstan,Astana,2,"Astana! Not Almaty! Kazakhstan moved its capital to this futuristic city on the steppe!"
my,Malaysia,Kuala Lumpur,2,"Kuala Lumpur! City of the iconic Twin Towers and capital of Malaysia!"
th,Thailand,Bangkok,2,"Bangkok! Its full ceremonial name is the longest official place name in the world!"
vn,Vietnam,Hanoi,2,"Hanoi! Not Ho Chi Minh City! Vietnam's northern capital and seat of government!"
id,Indonesia,Jakarta,2,"Jakarta! The sinking capital of Indonesia, currently being replaced by a new city called Nusantara!"
sa,Saudi Arabia,Riyadh,2,"Riyadh! The desert capital at the heart of the world's largest oil exporter!"
ir,Iran,Tehran,2,"Tehran! Nestled at the foot of the Alborz Mountains, capital of Iran!"
il,Israel,Jerusalem,2,"Jerusalem! A deeply contested capital, claimed by Israel but recognised by very few nations!"
ua,Ukraine,Kyiv,2,"Kyiv! One of Eastern Europe's oldest cities and capital of Ukraine!"
se,Sweden,Stockholm,2,"Stockholm! Built across fourteen islands where Lake Mälar meets the Baltic Sea!"
no,Norway,Oslo,2,"Oslo! The Viking capital of Norway, surrounded by forests and fjords!"
ro,Romania,Bucharest,2,"Bucharest! Once called the Little Paris of the East, now Romania's capital!"
at,Austria,Vienna,2,"Vienna! Imperial capital of the old Habsburg Empire and city of Mozart and Beethoven!"
pl,Poland,Warsaw,2,"Warsaw! Rebuilt almost entirely from rubble after World War Two!"
gr,Greece,Athens,2,"Athens! The cradle of Western civilisation and birthplace of democracy!"
hu,Hungary,Budapest,2,"Budapest! Two cities, Buda and Pest, united across the Danube in eighteen seventy-three!"
pt,Portugal,Lisbon,2,"Lisbon! Europe's westernmost capital, city of seven hills, fado music, and great explorers!"
