id,question,answer,wrong1,wrong2,wrong3,difficulty,type,reveal
cr001,Who preached the First Crusade at the Council of Clermont in 1095?,Pope Urban II,Pope Gregory VII,Pope Innocent III,Pope Clement V,1,person,Pope Urban the Second! His speech at Clermont in ten ninety-five launched two centuries of crusading!
cr002,In what year did Crusaders first capture Jerusalem?,1099,1096,1102,1187,1,date,Ten ninety-nine! Crusaders stormed Jerusalem on July the fifteenth after a gruelling five-week siege!
cr003,Which Muslim leader recaptured Jerusalem from the Crusaders in 1187?,Saladin,Baybars,Nur ad-Din,Al-Kamil,1,person,Saladin! The great Sultan retook Jerusalem on October the second eleven eighty-seven ending eighty-eight years of Crusader rule!
cr004,Which English king led the Third Crusade?,Richard I,Henry II,Edward I,King John,1,person,Richard the First the Lionheart! He never reached Jerusalem but earned eternal legend for his campaigns in the Holy Land!
cr005,What were the Crusader territories in the Holy Land collectively called?,Outremer,Terra Sancta,The Levant,Frankia,1,fact,Outremer! French for beyond the sea. The Crusaders built a whole new world far from home!
cr006,Which Crusade resulted in the sack of the Christian city of Constantinople?,Fourth Crusade,Third Crusade,Fifth Crusade,Second Crusade,1,event,The Fourth Crusade! It never reached the Holy Land and sacked a great Christian city instead!
cr007,What name was given to the disastrous 1212 movement of young people toward the Holy Land?,Children's Crusade,People's Crusade,Poor People's Crusade,Shepherd's Crusade,1,event,The Children's Crusade! A tragic movement that ended in disaster for almost everyone who joined!
cr008,At which battle in 1187 did Saladin destroy the main Crusader army?,Battle of Hattin,Battle of Arsuf,Battle of Dorylaeum,Battle of Montgisard,1,event,The Battle of Hattin! Saladin cut off the Crusaders' water supply and destroyed their army in the scorching heat!
cr009,Which military order was founded around 1119 in Jerusalem to protect pilgrims?,Knights Templar,Knights Hospitaller,Teutonic Knights,Order of Santiago,1,fact,The Knights Templar! Warrior monks who became one of the most powerful organisations in medieval Europe!
cr010,Who was chosen as the first ruler of Jerusalem after the Crusaders captured it in 1099?,Godfrey of Bouillon,Bohemond of Taranto,Raymond of Toulouse,Hugh of Vermandois,1,person,Godfrey of Bouillon! He was chosen as the first ruler of Jerusalem after the city fell in ten ninety-nine!
cr011,In what year did the last Crusader city of Acre fall to the Mamluks?,1291,1270,1287,1300,1,date,Twelve ninety-one! Acre fell on the eighteenth of May ending two hundred years of Crusader presence!
cr012,Which Crusader state was established first even before Jerusalem was captured?,County of Edessa,Kingdom of Jerusalem,Principality of Antioch,County of Tripoli,1,fact,The County of Edessa! Founded in ten ninety-eight by Baldwin of Boulogne it was the very first Crusader state!
cr013,The fall of which Crusader city in 1144 directly triggered the Second Crusade?,Edessa,Antioch,Tyre,Tripoli,1,event,Edessa! When the Muslim ruler Zengi captured it in eleven forty-four the Pope called the Second Crusade!
cr014,The Knights Hospitaller originally served what purpose in Jerusalem before becoming a military order?,Running a hospital for sick pilgrims,Guarding the Holy Sepulchre,Escorting pilgrim caravans,Translating Arabic manuscripts,1,fact,A hospital! The Knights Hospitaller started as a charity caring for sick pilgrims before taking up arms!
cr015,Which German Holy Roman Emperor drowned in a river while leading forces on the Third Crusade?,Frederick Barbarossa,Henry VI,Frederick II,Conrad III,1,person,Frederick Barbarossa! He drowned crossing the Saleph River in eleven ninety throwing the German army into chaos!
cr016,Bernard of Clairvaux was the great preacher who inspired thousands to join which Crusade?,Second Crusade,First Crusade,Third Crusade,Fourth Crusade,1,person,Bernard of Clairvaux! His preaching was so powerful that volunteers ran out of cloth to make crosses!
cr017,What spiritual reward did the Church promise to those who went on Crusade?,Remission of sins (plenary indulgence),Guaranteed entry to heaven,Land grants in the Holy Land,Knighthood upon return,1,fact,Remission of sins! The Pope promised crusaders a plenary indulgence wiping away punishment for all confessed sins!
cr018,Which Pope called for the Third Crusade after Jerusalem fell to Saladin in 1187?,Pope Gregory VIII,Pope Innocent III,Pope Urban II,Pope Clement III,1,person,Pope Gregory the Eighth! He issued the call for the Third Crusade in eleven eighty-seven just weeks before his own death!
cr019,The Fifth Crusade targeted which Egyptian city as the key to recapturing Jerusalem?,Damietta,Alexandria,Cairo,Rosetta,1,location,Damietta! The Crusaders took it in twelve nineteen but lost everything trying to push south toward Cairo!
cr020,What does the Latin battle cry Deus Vult mean?,God wills it,God protects us,For God and glory,God's holy army,1,fact,God wills it! The crowd's roar of Deus Vult at Clermont in ten ninety-five echoed through two centuries of crusading!
cr021,The Battle of Hattin in 1187 was fought near which body of water?,Sea of Galilee,Dead Sea,Mediterranean Sea,Jordan River,2,location,The Sea of Galilee! Saladin cut off the Crusaders' water supply before destroying their army at Hattin!
cr022,For how long did the Crusaders besiege Antioch during the First Crusade?,Eight months,Three months,One year,Eighteen months,2,event,Eight brutal months! The Siege of Antioch lasted from October ten ninety-seven to June ten ninety-eight!
cr023,Which Norman leader kept Antioch after the First Crusade breaking his oath to return it to Byzantium?,Bohemond of Taranto,Raymond of Toulouse,Tancred of Hauteville,Godfrey of Bouillon,2,person,Bohemond of Taranto! He held Antioch and declared himself its prince breaking his vow to the Byzantine Emperor!
cr024,Conrad of Montferrat was assassinated just days before what planned event?,His coronation as King of Jerusalem,His wedding to Isabella I,His departure from the Holy Land,His meeting with Richard I,2,event,The Assassins struck! Conrad the King-elect of Jerusalem was killed by the Hashshashin days before his coronation!
cr025,How long did the Siege of Acre last before Richard I broke through?,Two years,Six months,Three years,Four months,2,event,Two years! The brutal Siege of Acre from eleven eighty-nine to eleven ninety-one cost thousands of lives on both sides!
cr026,Which Pope called the Fourth Crusade in 1199 but then lost control of where it went?,Pope Innocent III,Pope Gregory VIII,Pope Urban III,Pope Clement III,2,person,Pope Innocent the Third! He called the Fourth Crusade but could not prevent it from sacking Constantinople instead!
cr027,Richard I captured the island of Cyprus in 1191. From whose control did he seize it?,Isaac Komnenos,Saladin,Guy of Lusignan,The Byzantine Emperor,2,event,Isaac Komnenos! Richard captured Cyprus on his way to the Holy Land almost as a glorious side quest!
cr028,What was the outcome of the Second Crusade's siege of Damascus in 1148?,Abandoned in humiliation after just four days,Repulsed with catastrophic losses,Ended in a negotiated surrender,Failed after a six-month siege,2,event,The Second Crusade! Abandoned in humiliation after just four days outside Damascus in eleven forty-eight!
cr029,Before attacking the Crusader states Saladin first united which two territories under his rule?,Egypt and Syria,Syria and Iraq,Egypt and North Africa,Palestine and Anatolia,2,fact,Egypt and Syria! Saladin built an empire from Cairo to Aleppo before turning his full power on the Crusaders!
cr030,What happened to King Louis IX of France at the Battle of Mansurah in 1250?,He was captured and held for ransom,He was killed in battle,He escaped by sea to Cyprus,He surrendered unconditionally,2,event,Louis the Ninth was captured by the Egyptians at Mansurah in twelve fifty and held for a king's ransom!
cr031,Which Mamluk Sultan systematically dismantled every remaining Crusader fortress after 1260?,Baybars,Al-Ashraf Khalil,Qalawun,Nur ad-Din,2,person,Baybars! After twelve sixty the great Mamluk Sultan dismantled every remaining Crusader fortress one by one!
cr032,Which of the four Crusader states survived the longest falling only in 1268?,Principality of Antioch,County of Tripoli,Kingdom of Jerusalem,County of Edessa,2,fact,The Principality of Antioch! It survived until twelve sixty-eight making it the longest-lasting of the four Crusader states!
cr033,Holy Roman Emperor Frederick II recovered Jerusalem in 1229 by what extraordinary means?,Diplomatic negotiation with the Sultan,Military siege,Naval blockade of Egypt,Paying an enormous ransom,2,event,Frederick the Second negotiated Jerusalem back from Sultan Al-Kamil in twelve twenty-nine without firing a single arrow!
cr034,The People's Crusade set out ahead of the main First Crusade army in 1096. What happened?,It was destroyed by the Turks almost immediately,It captured Nicaea before the main army,It merged with the main army at Constantinople,It returned to France without reaching Anatolia,2,event,The People's Crusade set out in ten ninety-six ahead of the main army and was destroyed by the Turks almost immediately!
cr035,Queen Melisende ruled as regent and co-ruler for over twenty years. Which Crusader kingdom did she govern?,Kingdom of Jerusalem,County of Tripoli,Principality of Antioch,County of Edessa,2,person,Queen Melisende of Jerusalem! She ruled as regent and then co-ruler for over twenty years one of the Crusades' great leaders!
