id,question,answer,wrong1,wrong2,wrong3,difficulty,reveal,cx,cy,type
cit001,The Eiffel Tower stands in which city?,Paris,Rome,London,Madrid,1,"Paris! It was meant to be torn down in nineteen-oh-nine but its radio antenna saved it!",480,174,landmark
cit002,The Colosseum is the iconic landmark of which ancient city?,Rome,Athens,Istanbul,Cairo,1,"Rome! The Colosseum once held up to eighty thousand spectators!",506,186,landmark
cit003,Which city is known as the Big Apple?,New York,Los Angeles,Chicago,Boston,1,"New York! The nickname was popularised by jazz musicians in the nineteen twenties!",228,196,nickname
cit004,The Statue of Liberty stands in the harbour of which city?,New York,Boston,Miami,Philadelphia,1,"New York! It was a gift from France and arrived in pieces by ship in eighteen eighty-five!",228,196,landmark
cit005,Big Ben and the Houses of Parliament are in which city?,London,Edinburgh,Dublin,Brussels,1,"London! Big Ben is actually the name of the bell inside the tower not the tower itself!",471,147,landmark
cit006,Which city carries the title the City of Light?,Paris,Vienna,Brussels,Amsterdam,1,"Paris! Streets were lit by oil lamps in the seventeenth century making it Europe's first illuminated city!",480,174,nickname
cit007,The Sydney Opera House is the defining landmark of which city?,Sydney,Melbourne,Auckland,Brisbane,1,"Sydney! Its architect quit the project halfway through after a creative dispute!",770,393,landmark
cit008,The Taj Mahal was built by Emperor Shah Jahan in which city?,Agra,Mumbai,Delhi,Jaipur,1,"Agra! It took twenty thousand workers and twenty-two years to complete!",652,246,landmark
cit009,The Great Pyramid of Giza stands on the edge of which city?,Cairo,Alexandria,Luxor,Casablanca,1,"Cairo! The Great Pyramid was the tallest structure on Earth for nearly four thousand years!",540,235,landmark
cit010,Which city hosted the two thousand and eight Summer Olympic Games?,Beijing,Tokyo,Seoul,Shanghai,1,"Beijing! The Games featured the iconic Bird's Nest stadium and spectacular opening ceremony!",720,197,event
cit011,The Acropolis and Parthenon crown the skyline of which city?,Athens,Rome,Istanbul,Lisbon,1,"Athens! The Parthenon has stood for nearly two thousand five hundred years!",530,201,landmark
cit012,Which city is called the Eternal City?,Rome,Athens,Jerusalem,Istanbul,1,"Rome! The poet Tibullus gave Rome this nickname over two thousand years ago!",506,186,nickname
cit013,The Golden Gate Bridge is the landmark of which American city?,San Francisco,Los Angeles,Seattle,Portland,1,"San Francisco! When it opened in nineteen thirty-seven it was the world's longest suspension bridge!",165,202,landmark
cit014,Which Italian city is built entirely on over a hundred small islands in a lagoon?,Venice,Naples,Florence,Genoa,1,"Venice! It has no roads at all only canals and is slowly sinking!",504,176,landmark
cit015,The Kremlin and Red Square are the heart of which city?,Moscow,Saint Petersburg,Kyiv,Warsaw,1,"Moscow! The Kremlin has been the seat of Russian power for over five centuries!",555,144,landmark
cit016,Which city is nicknamed the Paris of South America?,Buenos Aires,Rio de Janeiro,Santiago,Montevideo,1,"Buenos Aires! It has the widest avenue in the world the Avenida Nueve de Julio!",268,400,nickname
cit017,The Burj Khalifa the world's tallest building stands in which city?,Dubai,Abu Dhabi,Riyadh,Doha,1,"Dubai! The Burj Khalifa stands eight hundred and twenty-eight metres tall!",606,263,landmark
cit018,Which Japanese city was the first to be struck by an atomic bomb in nineteen forty-five?,Hiroshima,Tokyo,Nagasaki,Osaka,1,"Hiroshima! The bomb was dropped on August the sixth nineteen forty-five!",778,206,event
cit019,The Brandenburg Gate is the most iconic symbol of which European capital?,Berlin,Vienna,Warsaw,Prague,1,"Berlin! The Gate was built in seventeen ninety one and once stood in no man's land!",498,157,landmark
cit020,What is the capital city of Japan?,Tokyo,Osaka,Kyoto,Hiroshima,1,"Tokyo! It became Japan's capital in eighteen sixty-eight when Emperor Meiji moved from Kyoto!",795,185,capital
cit021,The Sagrada Familia cathedral under construction since eighteen eighty-two is in which city?,Barcelona,Madrid,Seville,Valencia,2,"Barcelona! Gaudí's masterpiece has been under construction for over one hundred and forty years!",472,190,landmark
cit022,The Petronas Twin Towers once the world's tallest buildings are in which city?,Kuala Lumpur,Singapore,Jakarta,Bangkok,2,"Kuala Lumpur! They held the height record from nineteen ninety-eight to two thousand and four!",727,314,landmark
cit023,Table Mountain overlooks which city on the tip of Africa?,Cape Town,Johannesburg,Durban,Nairobi,2,"Cape Town! Table Mountain is over six hundred million years old making it one of Earth's oldest!",518,432,landmark
cit024,The Anne Frank House where a Jewish family hid from the Nazis is in which city?,Amsterdam,Brussels,Berlin,Hamburg,2,"Amsterdam! Anne Frank and her family hid in a secret annex for over two years!",483,152,event
cit025,The Hagia Sophia once the world's largest cathedral for nearly a thousand years is in which city?,Istanbul,Athens,Cairo,Jerusalem,2,"Istanbul! It has been a church, a mosque, a museum, and a mosque again!",546,196,landmark
cit026,Which city hosted the two thousand and sixteen Olympics the first Summer Games in South America?,Rio de Janeiro,São Paulo,Buenos Aires,Lima,2,"Rio de Janeiro! The two thousand and sixteen Games were South America's first ever Summer Olympics!",283,338,event
cit027,Which city was divided by a famous wall from nineteen sixty-one to nineteen eighty-nine?,Berlin,Vienna,Munich,Dresden,2,"Berlin! Jubilant crowds tore down the Wall in November nineteen eighty-nine!",498,157,event
cit028,Angkor Wat one of the world's largest religious complexes is near which city?,Siem Reap,Bangkok,Phnom Penh,Yangon,2,"Siem Reap! Angkor Wat covers over four hundred square kilometres of jungle and temples!",726,284,landmark
cit029,The Christ the Redeemer statue watches over which Brazilian city?,Rio de Janeiro,São Paulo,Salvador,Recife,2,"Rio de Janeiro! Christ the Redeemer stands thirty metres tall on Corcovado mountain!",283,338,landmark
cit030,The Uffizi Gallery home to Botticelli's Birth of Venus is in which Italian city?,Florence,Rome,Venice,Milan,2,"Florence! The Uffizi was built in fifteen eighty and is one of the world's oldest art museums!",502,181,landmark
cit031,Mount Vesuvius buried which ancient city in ash in seventy-nine AD?,Pompeii,Naples,Herculaneum,Ostia,2,"Pompeii! The ash preserved the city so perfectly you can still see the outline of victims!",512,197,event
cit032,Which German city is home to the world's tallest Gothic cathedral started in ten eighty?,"Cologne",Munich,Frankfurt,Hamburg,2,"Cologne! The cathedral took over six hundred years to complete!",490,155,landmark
cit033,Kyoto was Japan's imperial capital for over a thousand years until which city took over?,Tokyo,Osaka,Nara,Hiroshima,2,"Tokyo! Emperor Meiji moved the capital from Kyoto to Tokyo in eighteen sixty-eight!",795,185,event
cit034,Which Indian city is called the Pink City for its distinctive rose-coloured buildings?,Jaipur,Mumbai,Chennai,Kolkata,2,"Jaipur! It was painted pink in eighteen seventy-six to welcome the Prince of Wales and stayed that way!",645,252,nickname
cit035,The Kaaba the holiest site in Islam is in which Saudi Arabian city?,Mecca,Medina,Riyadh,Jeddah,2,"Mecca! Over two million pilgrims visit the Kaaba during the annual Hajj pilgrimage!",576,268,landmark
cit036,The Forbidden City home to Chinese emperors for five centuries is in which city?,Beijing,Shanghai,Nanjing,Xian,2,"Beijing! The Forbidden City has nearly ten thousand rooms and was sealed to ordinary people for centuries!",720,197,landmark
cit037,Which Australian city is nicknamed the Cultural Capital and hosts the Australian Open?,Melbourne,Sydney,Brisbane,Perth,2,"Melbourne! The Australian Open is one of tennis's four Grand Slam tournaments!",762,405,nickname
cit038,The Atomium built for the nineteen fifty-eight World's Fair is in which city?,Brussels,Amsterdam,Paris,Luxembourg City,2,"Brussels! The Atomium represents an iron crystal magnified one hundred and sixty-five billion times!",483,158,landmark
cit039,Which Egyptian city contains the largest collection of ancient Pharaonic temples?,Luxor,Cairo,Alexandria,Aswan,2,"Luxor! Ancient Thebes as it was called was Egypt's capital for nearly five hundred years!",544,261,event
cit040,The Hermitage one of the world's largest art museums is in which Russian city?,Saint Petersburg,Moscow,Kazan,Riga,2,"Saint Petersburg! The Hermitage has over three million items in its collection!",524,131,landmark
cit041,Which Moroccan city is famous for its ancient medina and leather tanneries unchanged for centuries?,Fez,Marrakech,Casablanca,Rabat,2,"Fez! Fez el-Bali is one of the world's largest car-free urban areas!",462,216,landmark
cit042,The Little Mermaid statue is the beloved symbol of which Scandinavian capital?,Copenhagen,Stockholm,Oslo,Helsinki,2,"Copenhagen! The Little Mermaid is only about four feet tall but receives millions of visitors!",497,136,landmark
cit043,Which American city's Rose Bowl stadium hosted the nineteen ninety-four FIFA World Cup final?,Los Angeles,New York,Chicago,Dallas,2,"Los Angeles! Brazil beat Italy on penalties at the Pasadena Rose Bowl!",167,215,event
cit044,The Terracotta Army thousands of life-sized warrior statues was discovered near which Chinese city?,Xian,Beijing,Shanghai,Chengdu,2,"Xian! Farmers digging a well in nineteen seventy-four stumbled upon one of history's greatest discoveries!",707,214,landmark
cit045,Which Indian city is home to the world's largest film industry known as Bollywood?,Mumbai,Delhi,Kolkata,Chennai,2,"Mumbai! Bollywood produces more films per year than Hollywood!",643,272,nickname
cit046,What is the capital city of Kenya?,Nairobi,Lagos,Kampala,Dar es Salaam,2,"Nairobi! It is the only capital city in the world with a national park on its doorstep!",555,326,capital
cit047,The Lahore Fort and Badshahi Mosque are treasures of which Pakistani city?,Lahore,Karachi,Islamabad,Peshawar,2,"Lahore! Lahore was one of the most important cities in the entire Mughal Empire!",637,228,landmark
cit048,Which African city serves as headquarters of the African Union?,Addis Ababa,Nairobi,Cairo,Lagos,2,"Addis Ababa! Addis Ababa means new flower in Amharic and has hosted the African Union since nineteen sixty-three!",560,316,event
cit049,The Dome of the Rock and the Western Wall stand in which ancient city?,Jerusalem,Amman,Damascus,Bethlehem,2,"Jerusalem! It is sacred to three of the world's great religions!",553,228,landmark
cit050,Which Canadian city hosted the nineteen seventy-six Summer Olympic Games?,Montreal,Toronto,Vancouver,Ottawa,2,"Montreal! The nineteen seventy-six Games were the last Olympics to post a budget surplus!",222,164,event
cit051,Which Himalayan capital is famous for having no traffic lights by choice?,Thimphu,Kathmandu,Lhasa,Kabul,3,"Thimphu! Bhutan tried traffic lights once then removed them because residents preferred police directing traffic!",682,234,nickname
cit052,Which Central Asian capital holds world records for having more white marble buildings than anywhere else?,Ashgabat,Tashkent,Bishkek,Dushanbe,3,"Ashgabat! Turkmenistan's capital has so many marble buildings it holds multiple Guinness World Records!",622,216,nickname
cit053,Which West African capital has a name meaning you are welcome here in the Mossi language?,Ouagadougou,Bamako,Niamey,Conakry,3,"Ouagadougou! It is one of the hardest capital city names to spell in the world!",469,292,nickname
cit054,Which Indian Ocean capital is so densely packed it has almost no undeveloped land at all?,Malé,Colombo,Port Louis,Dili,3,"Malé! The Maldives capital has over sixty-five thousand people per square kilometre!",655,304,nickname
cit055,Which Southeast Asian capital was secretly constructed and then revealed to the world in two thousand and six?,Naypyidaw,Vientiane,Phnom Penh,Dili,3,"Naypyidaw! Myanmar's government moved the capital overnight in two thousand and five shocking the entire country!",715,258,event
cit056,Which ancient West African city was once one of the greatest centres of Islamic scholarship?,Timbuktu,Marrakech,Kano,Dakar,3,"Timbuktu! In the fourteenth century it was so wealthy that Mansa Musa's pilgrimage crashed the global gold price!",462,278,event
cit057,Which city is the official capital of Ivory Coast despite not being the largest or most famous city there?,Yamoussoukro,Abidjan,Accra,Dakar,3,"Yamoussoukro! It became official capital in nineteen eighty-three and houses the world's largest Catholic basilica!",457,302,capital
cit058,Which Central Asian capital was renamed after its founding president then renamed back again?,Astana,Bishkek,Tashkent,Dushanbe,3,"Astana! It was called Nursultan from twenty nineteen then changed back to Astana in twenty twenty-two!",635,172,event
cit059,What is the capital city of the Pacific island nation of Tonga?,Nuku'alofa,Suva,Apia,Port Vila,3,"Nuku'alofa! Tonga is the last Polynesian monarchy and the royal palace sits right in the capital!",895,382,capital
cit060,Which tiny European capital built by the Knights of Malta is the smallest capital in the EU?,Valletta,Nicosia,Luxembourg City,Monaco,3,"Valletta! The entire city is a UNESCO World Heritage Site and you can walk across it in twenty minutes!",502,200,landmark
cit061,Which Pacific atoll capital faces being completely submerged by rising seas within decades?,Funafuti,Tarawa,Majuro,Palikir,3,"Funafuti! Tuvalu's capital sits barely two metres above sea level and may be uninhabitable by two thousand and fifty!",886,344,event
cit062,Which East African capital has a remarkable collection of nineteen thirties Italian Art Deco buildings?,Asmara,Addis Ababa,Nairobi,Khartoum,3,"Asmara! Eritrea's capital has so many intact colonial buildings it became a UNESCO World Heritage Site!",558,296,landmark
cit063,Which secretive capital is home to the sixty-metre Juche Tower celebrating North Korea's state ideology?,Pyongyang,Beijing,Hanoi,Ulaanbaatar,3,"Pyongyang! The Juche Tower celebrates North Korea's ideology of total self-reliance!",782,194,landmark
cit064,Which Eastern European capital was rebuilt almost entirely in Stalinist architecture after World War Two?,Minsk,Warsaw,Kyiv,Riga,3,"Minsk! Belarus's capital was ninety percent destroyed and nearly every building you see is post-nineteen forty-five!",533,151,event
cit065,Which Colombian city once the most dangerous on Earth transformed itself into a model of urban renewal?,Medellín,Bogotá,Cali,Cartagena,3,"Medellín! Once infamous for drug violence it won the Wall Street Journal's City of the Year award in twenty thirteen!",247,302,event
cit066,Which Nordic capital is powered almost entirely by geothermal energy from the Mid-Atlantic Ridge below?,Reykjavik,Oslo,Helsinki,Tallinn,3,"Reykjavik! Iceland generates nearly one hundred percent of its electricity from renewable sources!",441,111,nickname
cit067,Which former imperial capital of Japan has over one thousand six hundred Buddhist temples?,Kyoto,Tokyo,Osaka,Nara,3,"Kyoto! It was Japan's imperial capital for over a thousand years and its temples survived World War Two!",784,209,landmark
cit068,Which Central American capital was rebuilt multiple times after devastating earthquakes and volcanic eruptions?,Managua,Tegucigalpa,San José,Guatemala City,3,"Managua! Nicaragua's capital sits near active volcanoes and fault lines and has been destroyed and rebuilt several times!",205,276,event
cit069,Which southern African capital is nicknamed the Pearl of the Indian Ocean for its colonial boulevards?,Maputo,Harare,Lusaka,Antananarivo,3,"Maputo! Mozambique's capital has striking Portuguese colonial architecture and some of Africa's best seafood!",550,396,nickname
cit070,Which Southeast Asian capital only became an independent nation's capital in the year two thousand and two?,Dili,Vientiane,Phnom Penh,Bandar Seri Begawan,3,"Dili! East Timor became the twenty-first century's first new nation in two thousand and two!",778,347,event
cit071,Which South American capital sits at over three thousand six hundred metres making it the world's highest seat of government?,La Paz,Sucre,Quito,Bogotá,3,"La Paz! Bolivia's government capital is so high its airport sits above the summit of most European mountains!",258,360,nickname
cit072,Which Central American capital was purpose-built after a hurricane devastated the previous capital in nineteen sixty-one?,Belmopan,San José,Tegucigalpa,Guatemala City,3,"Belmopan! Belize moved its capital inland after Hurricane Hattie destroyed Belize City!",198,263,event
cit073,Which southern African capital grew from a village of fewer than five hundred people to a modern city after independence?,Gaborone,Windhoek,Maseru,Mbabane,3,"Gaborone! When Botswana became independent in nineteen sixty-six Gaborone had barely five hundred people!",524,408,event
cit074,Which Caribbean capital was struck by a catastrophic earthquake in two thousand and ten killing over two hundred thousand people?,Port-au-Prince,Kingston,Havana,Santo Domingo,3,"Port-au-Prince! Haiti's twenty ten earthquake was one of the deadliest natural disasters in modern history!",244,263,event
cit075,Which capital city holds the record as the world's coldest national capital with average January temperatures of minus twenty?,Ulaanbaatar,Astana,Minsk,Helsinki,3,"Ulaanbaatar! Mongolia's capital averages minus twenty-two degrees Celsius in January!",715,166,nickname
