code,breed_name,difficulty,image_url,question_type,fact,reveal
lab-ret,Labrador Retriever,1,https://commons.wikimedia.org/wiki/Special:FilePath/YellowLabradorLooking_new.jpg,image,,"The world's most popular family dog — originally bred in Newfoundland not Labrador!"
gold-ret,Golden Retriever,1,https://commons.wikimedia.org/wiki/Special:FilePath/Golden_Retriever_Carlos_(cross-eyed).jpg,image,,"One of the most trainable breeds ever — originally a duck-retrieving water dog!"
ger-shep,German Shepherd,1,https://commons.wikimedia.org/wiki/Special:FilePath/Alsatian_sheepdog.jpg,image,,"The most widely used working dog on Earth — police, military, and search and rescue!"
eng-bull,English Bulldog,1,https://commons.wikimedia.org/wiki/Special:FilePath/English_Bulldog_800.jpg,image,,"Their flat-faced look is entirely human-made — it causes real breathing difficulties!"
std-poo,Standard Poodle,1,https://commons.wikimedia.org/wiki/Special:FilePath/Poodle_geant_blanc.jpg,image,,"The iconic haircut was designed for swimming — to protect joints in cold water!"
beagle,Beagle,1,https://commons.wikimedia.org/wiki/Special:FilePath/Beagle_portrait.jpg,image,,"The most popular scent hound in the world — deployed in over a hundred airports for detection!"
chih,Chihuahua,1,https://commons.wikimedia.org/wiki/Special:FilePath/Chihuahua1_bvdb.jpg,image,,"The world's smallest dog breed — named after the Mexican state of Chihuahua!"
sib-hus,Siberian Husky,1,https://commons.wikimedia.org/wiki/Special:FilePath/Siberianhusky1.jpg,image,,"Can run three hundred kilometres a day on minimal food in sub-zero temperatures!"
york-ter,Yorkshire Terrier,1,https://commons.wikimedia.org/wiki/Special:FilePath/Yorkshire_Terrier_Photo.jpg,image,,"Despite their size they were bred as fearless rat hunters deep in Yorkshire mines!"
fr-bull,French Bulldog,1,https://commons.wikimedia.org/wiki/Special:FilePath/Frenchbulldog2.jpg,image,,"Descended from English bulldogs taken to France by lacemakers during the Industrial Revolution!"
dalm,Dalmatian,1,https://commons.wikimedia.org/wiki/Special:FilePath/Dalmatian_dog.jpg,image,,"Historically ran alongside horse-drawn carriages as coach dogs to guard horses!"
border-c,Border Collie,1,https://commons.wikimedia.org/wiki/Special:FilePath/Border_Collie_sheepdog.jpg,image,,"Considered the world's most intelligent dog — can learn a new word in a single hearing!"
dob-pin,Doberman Pinscher,1,,fact,"Originally bred by a German tax collector who wanted a loyal and intimidating companion","Doberman! Created in the eighteen eighties by tax collector Louis Dobermann for protection!"
rottw,Rottweiler,1,,fact,"Descended from Roman herding dogs left behind when legions withdrew from ancient Germany","Rottweiler! Their ancestors were Roman cattle dogs marching with the legions!"
dach,Dachshund,1,,fact,"German name means badger dog — their long bodies were designed to enter underground burrows","Dachshund! Bred to squeeze into badger burrows — their name literally means badger dog!"
shih-tzu,Shih Tzu,1,,fact,"Bred exclusively as a companion for Chinese emperors and forbidden from leaving the royal palace","Shih Tzu! Chinese royalty were so protective they hid the breeding secrets for centuries!"
cock-sp,Cocker Spaniel,1,,fact,"Originally bred in Spain to flush woodcocks from dense undergrowth — hence their name","Cocker Spaniel! They get their name from the woodcock birds they were bred to flush!"
grey,Greyhound,1,,fact,"The fastest domestic dog reaching seventy-two kilometres per hour — and mentioned in the Bible","Greyhound! The only dog breed mentioned by name in the Bible!"
boxer,Boxer,1,,fact,"Named for their habit of standing on hind legs and using their front paws like a boxer","Boxer! They love to play-fight with their front paws like a prizefighter!"
gr-dane,Great Dane,1,,fact,"Despite their size they are gentle giants rarely living beyond ten years","Great Dane! The world's tallest dog breed has one of the shortest lifespans!"
shib-inu,Shiba Inu,2,https://commons.wikimedia.org/wiki/Special:FilePath/Shiba_inu_taiki.jpg,image,,"Japan's most popular native breed — Shiba means small brushwood and Inu means dog!"
aus-shep,Australian Shepherd,2,https://commons.wikimedia.org/wiki/Special:FilePath/Aussie_Dogo.jpg,image,,"Despite the name developed almost entirely in California by Basque shepherds!"
bern-mtn,Bernese Mountain Dog,2,https://commons.wikimedia.org/wiki/Special:FilePath/BerneseMountainDog08.jpg,image,,"One of four Swiss mountain dog breeds — used for drafting and droving cattle in the Alps!"
akita,Akita,2,https://commons.wikimedia.org/wiki/Special:FilePath/Akita_Inu.jpg,image,,"Japan's national dog — the famous Hachiko waited nine years at a train station for his owner!"
weim,Weimaraner,2,https://commons.wikimedia.org/wiki/Special:FilePath/Weimaraner_wb.jpg,image,,"Called the Grey Ghost for their distinctive silver coat — bred for hunting big game!"
belg-mal,Belgian Malinois,2,https://commons.wikimedia.org/wiki/Special:FilePath/Belgian_Malinois.jpg,image,,"The preferred dog of special forces worldwide — more deployments than any other military breed!"
chow,Chow Chow,2,https://commons.wikimedia.org/wiki/Special:FilePath/Chow_Chow_dog.jpg,image,,"Has a distinctive blue-black tongue — one of the oldest recognisable dog breeds from ancient China!"
shar-pei,Shar Pei,2,https://commons.wikimedia.org/wiki/Special:FilePath/Shar_pei_puppy.jpg,image,,"Their name means sand skin in Cantonese — the wrinkles made them harder for other dogs to grip!"
papil,Papillon,2,https://commons.wikimedia.org/wiki/Special:FilePath/Papillon_Butterfly_Dog.jpg,image,,"Their name means butterfly in French — named for their distinctive wing-like ear fringes!"
st-bern,Saint Bernard,2,https://commons.wikimedia.org/wiki/Special:FilePath/Barry_(Saint_Bernard).jpg,image,,"The famous Saint Bernard Barry rescued over forty people in the Swiss Alps in the early eighteen hundreds!"
al-mal,Alaskan Malamute,2,https://commons.wikimedia.org/wiki/Special:FilePath/Alaskan_Malamute.jpg,image,,"One of the oldest Arctic sled dogs — named after the Mahlemut Inuit people of Alaska!"
blood-h,Bloodhound,2,https://commons.wikimedia.org/wiki/Special:FilePath/Bloodhound_dog.jpg,image,,"Their nose is so accurate its results are admissible as evidence in a court of law!"
